date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:43	84320/84320	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	D:/banhang-vongda/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from http://localhost/banhang-vongda/)
14:35:47	137938/137938	---M--	200	added ('OK')	image/jpeg	etag:%2221ad2-58779de2e6680%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/bokeh-2245355_960_720.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/bokeh-2245355_960_720.jpg	(from http://localhost/banhang-vongda/)
14:35:51	66616/66616	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:35:43%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/da-quy/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/da-quy/index.html	(from http://localhost/banhang-vongda/)
14:35:52	19764/19764	---M--	200	added ('OK')	image/jpeg	etag:%224d34-58766a0a34d24%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/2-2.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/2-2.jpg	(from http://localhost/banhang-vongda/)
14:35:54	14472/14472	---M--	200	added ('OK')	image/jpeg	etag:%223888-58766a1e24a0f%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/3-4.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/3-4.jpg	(from http://localhost/banhang-vongda/)
14:35:56	61865/61865	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:35:51%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/da-quy/vong-da-phong-thuy/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/da-quy/vong-da-phong-thuy/index.html	(from http://localhost/banhang-vongda/)
14:35:59	10091/10091	---M--	200	added ('OK')	image/jpeg	etag:%22276b-58766a074ca35%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/8.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/8.jpg	(from http://localhost/banhang-vongda/)
14:35:59	62150/62150	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:35:54%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/da-quy/vong-go-phong-thuy/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/da-quy/vong-go-phong-thuy/index.html	(from http://localhost/banhang-vongda/)
14:36:02	15963/15963	---M--	200	added ('OK')	image/jpeg	etag:%223e5b-58766a01c19c9%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/1.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/1.jpg	(from http://localhost/banhang-vongda/)
14:36:03	47763/47763	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:35:59%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/den-led/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/den-led/index.html	(from http://localhost/banhang-vongda/)
14:36:04	6966/6966	---M--	200	added ('OK')	image/jpeg	etag:%221b36-58766a20981b2%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/7.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/7.jpg	(from http://localhost/banhang-vongda/)
14:36:06	48278/48278	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:02%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/den-led/led-ngoai-troi/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/den-led/led-ngoai-troi/index.html	(from http://localhost/banhang-vongda/)
14:36:07	7633/7633	---M--	200	added ('OK')	image/jpeg	etag:%221dd1-5876960750512%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/images.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/images.jpg	(from http://localhost/banhang-vongda/)
14:36:10	48278/48278	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:04%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/den-led/led-thoat-hiem/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/den-led/led-thoat-hiem/index.html	(from http://localhost/banhang-vongda/)
14:36:13	10349/10349	---M--	200	added ('OK')	image/jpeg	etag:%22286d-58766a1da8992%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/5.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/5.jpg	(from http://localhost/banhang-vongda/)
14:36:13	48257/48257	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:07%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/den-led/led-trong-nha/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/den-led/led-trong-nha/index.html	(from http://localhost/banhang-vongda/)
14:36:14	7070/7070	---M--	200	added ('OK')	image/jpeg	etag:%221b9e-58769620fbfb6%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/images-1.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/images-1.jpg	(from http://localhost/banhang-vongda/)
14:36:18	47848/47848	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:13%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/index.html	(from http://localhost/banhang-vongda/)
14:36:20	48288/48288	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:14%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-ban/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-ban/index.html	(from http://localhost/banhang-vongda/)
14:36:20	16290/16290	---M--	200	added ('OK')	image/jpeg	etag:%223fa2-58766a061d65e%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/4-1.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/4-1.jpg	(from http://localhost/banhang-vongda/)
14:36:26	48292/48292	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:20%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-tha/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-tha/index.html	(from http://localhost/banhang-vongda/)
14:36:28	48300/48300	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:20%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-tran/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-tran/index.html	(from http://localhost/banhang-vongda/)
14:36:28	10628/10628	---M--	200	added ('OK')	image/jpeg	etag:%222984-58766a1ec9ebe%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/6-1.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/6-1.jpg	(from http://localhost/banhang-vongda/)
14:36:29	5852/5852	---M--	200	added ('OK')	image/jpeg	etag:%2216dc-58766a1c5ccac%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/d3-1.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/d3-1.jpg	(from http://localhost/banhang-vongda/)
14:36:32	48316/48316	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:28%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-tre-em/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-tre-em/index.html	(from http://localhost/banhang-vongda/)
14:36:35	10582/10582	---M--	200	added ('OK')	image/jpeg	etag:%222956-587692a62bc83%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/Do-1-600x600-300x300.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/Do-1-600x600-300x300.jpg	(from http://localhost/banhang-vongda/)
14:36:35	48317/48317	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:30%20GMT	http://localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-tuong/	D:/banhang-vongda/localhost/banhang-vongda/danh-muc-san-pham/thuong-hieu-life/den-tuong/index.html	(from http://localhost/banhang-vongda/)
14:36:42	65715/65715	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:35%20GMT	http://localhost/banhang-vongda/category/tin-tuc/	D:/banhang-vongda/localhost/banhang-vongda/category/tin-tuc/index.html	(from http://localhost/banhang-vongda/)
14:36:43	57914/57914	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:35%20GMT	http://localhost/banhang-vongda/lien-he/	D:/banhang-vongda/localhost/banhang-vongda/lien-he/index.html	(from http://localhost/banhang-vongda/)
14:36:45	19458/19458	---M--	200	added ('OK')	image/jpeg	etag:%224c02-587694777dd47%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/58a91ef38717c_1487478515-300x300.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/58a91ef38717c_1487478515-300x300.jpg	(from http://localhost/banhang-vongda/)
14:36:48	10688/10688	---M--	200	added ('OK')	image/jpeg	etag:%2229c0-58769562f1400%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/vong-da-thch-anh-u-linh-d-6li-300x300.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/vong-da-thch-anh-u-linh-d-6li-300x300.jpg	(from http://localhost/banhang-vongda/)
14:36:49	64715/64715	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:43%20GMT	http://localhost/banhang-vongda/gio-hang/	D:/banhang-vongda/localhost/banhang-vongda/gio-hang/index.html	(from http://localhost/banhang-vongda/)
14:36:51	15963/15963	---M--	200	added ('OK')	image/jpeg	etag:%223e5b-58766a214c4ac%22	http://localhost/banhang-vongda/wp-content/uploads/2019/03/1-4.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/03/1-4.jpg	(from http://localhost/banhang-vongda/)
14:36:56	84362/84362	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:48%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-001/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-001/index.html	(from http://localhost/banhang-vongda/)
14:36:57	505182/505182	---M--	200	added ('OK')	image/png	etag:%227b55e-58779f7a1e8e7%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/tce1374203856.png	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/tce1374203856.png	(from http://localhost/banhang-vongda/)
14:36:59	83712/83712	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:51%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-002/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-002/index.html	(from http://localhost/banhang-vongda/)
14:37:00	707295/707295	---MC-	200	added ('OK')	application/json	date:Tue,%2030%20Apr%202019%2007:35:12%20GMT	http://localhost/banhang-vongda/wp-json/	D:/banhang-vongda/localhost/banhang-vongda/wp-json/index.html	(from http://localhost/banhang-vongda/)
14:37:03	84285/84285	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:36:57%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-003/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-003/index.html	(from http://localhost/banhang-vongda/)
14:37:08	82955/82955	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:00%20GMT	http://localhost/banhang-vongda/?add-to-cart=107	D:/banhang-vongda/localhost/banhang-vongda/indexeea2.html	(from http://localhost/banhang-vongda/)
14:37:08	33644/33644	---M--	200	added ('OK')	image/jpeg	etag:%22836c-5876b38a8edba%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/thu-tuong-den-bucharest-bat-dau-tham-chinh-thuc-romania-1-1555230952547.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/thu-tuong-den-bucharest-bat-dau-tham-chinh-thuc-romania-1-1555230952547.jpg	(from http://localhost/banhang-vongda/)
14:37:09	48571/48571	---M--	200	added ('OK')	image/jpeg	etag:%22bdbb-5876b3e55b5a0%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/tan-thu-truong-bo-nong-nghiep-1554978165341.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/tan-thu-truong-bo-nong-nghiep-1554978165341.jpg	(from http://localhost/banhang-vongda/)
14:37:17	83813/83813	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:08%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-003-2/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-003-2/index.html	(from http://localhost/banhang-vongda/)
14:37:18	69205/69205	---M--	200	added ('OK')	image/jpeg	etag:%2210e55-5876b3269fda1%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/20190417214055-1555545544324.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/20190417214055-1555545544324.jpg	(from http://localhost/banhang-vongda/)
14:37:18	48332/48332	---M--	200	added ('OK')	image/jpeg	etag:%22bccc-5876b2bc679f6%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/le-vinh-tan-1-1555506986510.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/le-vinh-tan-1-1555506986510.jpg	(from http://localhost/banhang-vongda/)
14:37:19	82955/82955	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:09%20GMT	http://localhost/banhang-vongda/?add-to-cart=108	D:/banhang-vongda/localhost/banhang-vongda/index0e88.html	(from http://localhost/banhang-vongda/)
14:37:28	83722/83722	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:18%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-005/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-005/index.html	(from http://localhost/banhang-vongda/)
14:37:28	84274/84274	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2007:37:18%20GMT	http://localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-004/	D:/banhang-vongda/localhost/banhang-vongda/s%e1%ba%a3n%20ph%e1%ba%a9m/vong-go-phong-thuy-004/index.html	(from http://localhost/banhang-vongda/)
14:37:28	52755/52755	---M--	200	added ('OK')	image/jpeg	etag:%22ce13-5876b253f6026%22	http://localhost/banhang-vongda/wp-content/uploads/2019/04/t-tg-phuc-1555408821350.jpg	D:/banhang-vongda/localhost/banhang-vongda/wp-content/uploads/2019/04/t-tg-phuc-1555408821350.jpg	(from http://localhost/banhang-vongda/)
